"keys","pt","en","es","fr","de","it","ru","ja","zh"
"Limite atingido! O VIP estende o offline para 24 h.","Limite atingido! O VIP estende o offline para 24 h.","Cap reached! VIP extends offline to 24 h.","¡Límite alcanzado! El VIP amplía el modo sin conexión a 24 h.","Limite atteinte ! Le VIP étend le hors ligne à 24 h.","Limit erreicht! VIP verlängert offline auf 24 h.","Limite raggiunto! Il VIP estende l'offline a 24 h.","Лимит достигнут! VIP продлевает офлайн до 24ч.","上限到達！VIPでオフラインが24時間に延長。","已达上限！VIP 将离线延长至24小时。"
"Próximo: abrir %s","Próximo: abrir %s","Next: open %s","Siguiente: abrir %s","Prochain : ouvrir %s","Nächstes: %s öffnen","Prossimo: apri %s","Далее: открыть %s","次：%s を開放","下一个：开设 %s"
"Próximo: expandir para %s","Próximo: expandir para %s","Next: expand to %s","Siguiente: expandir a %s","Prochain : s'étendre à %s","Nächstes: nach %s erweitern","Prossimo: espandi a %s","Далее: расширить в %s","次：%s へ拡大","下一个：扩张至 %s"
"Próximo: Prestige disponível!","Próximo: Prestige disponível!","Next: Prestige available!","Siguiente: ¡Prestigio disponible!","Prochain : Prestige disponible !","Nächstes: Prestige verfügbar!","Prossimo: Prestigio disponibile!","Далее: престиж доступен!","次：プレステージ可能！","下一个：转生可用！"
"Próximo: 5.º país para Prestige","Próximo: 5.º país para Prestige","Next: 5th country for Prestige","Siguiente: 5.º país para Prestigio","Prochain : 5e pays pour le Prestige","Nächstes: 5. Land für Prestige","Prossimo: 5º paese per il Prestigio","Далее: 5-я страна для престижа","次：プレステージへ5番目の国","下一个：第5个国家以转生"
"Como jogar / Ajuda","Como jogar / Ajuda","How to play / Help","Cómo jugar / Ayuda","Comment jouer / Aide","Anleitung / Hilfe","Come giocare / Aiuto","Как играть / Помощь","遊び方 / ヘルプ","玩法 / 帮助"
"Como jogar","Como jogar","How to play","Cómo jugar","Comment jouer","Anleitung","Come giocare","Как играть","遊び方","玩法"
"Moedas","Moedas","Currencies","Monedas","Monnaies","Währungen","Valute","Валюты","通貨","货币"
"Restaurar sequência (anúncio)","Restaurar sequência (anúncio)","Restore streak (ad)","Restaurar racha (anuncio)","Restaurer la série (pub)","Streak wiederherstellen (Werbung)","Ripristina streak (annuncio)","Восстановить серию (реклама)","連続記録を復元（広告）","恢复连续（广告）"
"Sequência restaurada!","Sequência restaurada!","Streak restored!","¡Racha restaurada!","Série restaurée !","Streak wiederhergestellt!","Streak ripristinata!","Серия восстановлена!","連続記録を復元しました！","连续已恢复！"
"Desbloqueadas: %d / %d","Desbloqueadas: %d / %d","Unlocked: %d / %d","Desbloqueados: %d / %d","Débloqués : %d / %d","Freigeschaltet: %d / %d","Sbloccati: %d / %d","Разблокировано: %d / %d","解放済み：%d / %d","已解锁：%d / %d"
"Reivindicar tudo","Reivindicar tudo","Claim all","Reclamar todo","Tout réclamer","Alle einfordern","Riscuoti tutto","Забрать всё","すべて受け取る","全部领取"
"Bónus de sequência: +%d%%","Bónus de sequência: +%d%%","Streak bonus: +%d%%","Bonus de racha: +%d%%","Bonus de série : +%d%%","Streak-Bonus: +%d%%","Bonus streak: +%d%%","Бонус серии: +%d%%","連続ボーナス：+%d%%","连续加成：+%d%%"
"Europa Ocidental","Europa Ocidental","Western Europe","Europa Occidental","Europe de l'Ouest","Westeuropa","Europa occidentale","Западная Европа","西ヨーロッパ","西欧"
"Europa Nórdica e de Leste","Europa Nórdica e de Leste","Northern & Eastern Europe","Europa del Norte y del Este","Europe du Nord et de l'Est","Nord- und Osteuropa","Europa settentrionale e orientale","Северная и Восточная Европа","北・東ヨーロッパ","北欧和东欧"
"Eurásia","Eurásia","Eurasia","Eurasia","Eurasie","Eurasien","Eurasia","Евразия","ユーラシア","欧亚大陆"
"África","África","Africa","África","Afrique","Afrika","Africa","Африка","アフリカ","非洲"
"Médio Oriente e Sul da Ásia","Médio Oriente e Sul da Ásia","Middle East & South Asia","Oriente Medio y Asia del Sur","Moyen-Orient et Asie du Sud","Naher Osten & Südasien","Medio Oriente e Asia meridionale","Ближний Восток и Южная Азия","中東・南アジア","中东和南亚"
"Ásia Oriental e Oceânia","Ásia Oriental e Oceânia","East Asia & Oceania","Asia Oriental y Oceanía","Asie de l'Est et Océanie","Ostasien & Ozeanien","Asia orientale e Oceania","Восточная Азия и Океания","東アジア・オセアニア","东亚和大洋洲"
"Américas","Américas","Americas","Américas","Amériques","Amerika","Americhe","Америка","南北アメリカ","美洲"
"🌍 Região dominada: %s  ·  +%d%% lucros permanente","🌍 Região dominada: %s  ·  +%d%% lucros permanente","🌍 Region conquered: %s  ·  +%d%% profits forever","🌍 Región dominada: %s  ·  +%d%% de beneficios permanente","🌍 Région conquise : %s  ·  +%d%% de profits à vie","🌍 Region erobert: %s  ·  +%d%% Gewinn dauerhaft","🌍 Regione conquistata: %s  ·  +%d%% profitti per sempre","🌍 Регион покорён: %s  ·  +%d%% к прибыли навсегда","🌍 地域制覇：%s  ·  利益 +%d%% 永久","🌍 征服区域：%s  ·  永久 +%d%% 收益"
"Regiões","Regiões","Regions","Regiones","Régions","Regionen","Regioni","Регионы","地域","区域"
"Lembretes","Lembretes","Reminders","Recordatorios","Rappels","Erinnerungen","Promemoria","Напоминания","リマインダー","提醒"
"🚁 Armazém cheio!","🚁 Armazém cheio!","🚁 Warehouse full!","🚁 ¡Almacén lleno!","🚁 Entrepôt plein !","🚁 Lager voll!","🚁 Magazzino pieno!","🚁 Склад заполнен!","🚁 倉庫が満杯！","🚁 仓库已满！"
"Os teus drones encheram o armazém. Volta para recolher os lucros!","Os teus drones encheram o armazém. Volta para recolher os lucros!","Your drones filled the warehouse. Come back to collect your profits!","Tus drones han llenado el almacén. ¡Vuelve para recoger tus beneficios!","Tes drones ont rempli l'entrepôt. Reviens récupérer tes profits !","Deine Drohnen haben das Lager gefüllt. Komm zurück und kassiere deine Gewinne!","I tuoi droni hanno riempito il magazzino. Torna a raccogliere i profitti!","Твои дроны заполнили склад. Возвращайся за прибылью!","ドローンが倉庫を満杯にしました。戻って利益を回収しよう！","你的无人机已装满仓库。回来领取收益吧！"
"🎁 Recompensa diária pronta","🎁 Recompensa diária pronta","🎁 Daily reward ready","🎁 Recompensa diaria lista","🎁 Récompense quotidienne prête","🎁 Tägliche Belohnung bereit","🎁 Ricompensa giornaliera pronta","🎁 Ежедневная награда готова","🎁 デイリー報酬の準備完了","🎁 每日奖励已就绪"
"A tua recompensa diária está à espera. Entra e reclama!","A tua recompensa diária está à espera. Entra e reclama!","Your daily reward is waiting. Jump in and claim it!","Tu recompensa diaria te espera. ¡Entra y recógela!","Ta récompense quotidienne t'attend. Connecte-toi pour la réclamer !","Deine tägliche Belohnung wartet. Rein und abholen!","La tua ricompensa giornaliera ti aspetta. Entra e riscuotila!","Тебя ждёт ежедневная награда. Заходи и забери её!","デイリー報酬が待っています。ログインして受け取ろう！","每日奖励正在等你。快来领取吧！"
"Notificações","Notificações","Notifications","Notificaciones","Notifications","Benachrichtigungen","Notifiche","Уведомления","通知","通知"
